czesc1:
BER 7,4:
alpha	ask	psk	fsk
0.000	0.000	0.000	0.000
0.333	0.000	0.000	0.000
0.667	6.169	0.000	0.000
1.000	13.312	0.000	0.000
1.333	15.909	0.000	2.273
1.667	20.779	1.299	3.571
2.000	22.403	1.948	6.818
2.333	25.000	4.221	10.714
2.667	27.273	3.571	13.961
3.000	26.623	10.065	11.688

BER 15,11:
alpha	ask	psk	fsk
0.000	0.000	0.000	0.000
0.333	0.000	0.000	0.000
0.667	2.922	0.000	0.000
1.000	10.065	0.000	0.000
1.333	16.883	0.000	0.000
1.667	18.506	0.000	3.247
2.000	26.623	0.000	6.169
2.333	25.649	0.974	9.416
2.667	26.299	2.922	11.039
3.000	27.273	9.740	20.130

czesc2:
BER 7,4:
alpha	ask	psk	fsk
0.000	19.481	10.065	10.065
0.200	22.078	10.065	10.065
0.400	23.701	10.065	10.065
0.600	25.000	10.065	10.065
0.800	25.325	10.065	10.065
1.000	25.974	10.065	10.065
1.200	26.299	10.065	10.065
1.400	26.299	10.065	10.065
1.600	26.623	10.065	10.065
1.800	26.948	10.065	10.065

BER 15,11:
alpha	ask	psk	fsk
0.000	19.481	10.390	10.390
0.200	21.753	10.390	10.390
0.400	24.026	10.390	10.390
0.600	25.325	10.390	10.390
0.800	25.649	10.390	10.390
1.000	25.974	10.390	10.390
1.200	26.299	10.390	10.390
1.400	26.299	10.390	10.390
1.600	26.623	10.390	10.390
1.800	26.948	10.390	10.390
